c_lb_code,c_lb_lowerchambre
4,Other
51,Proportional
50,Majoritarian
48,Majoritarian
70,Proportional
52,Majoritarian
76,Proportional
64,Majoritarian
170,Proportional
188,Proportional
192,Majoritarian
116,Proportional
262,Mixed
242,Proportional
266,Majoritarian
348,Mixed
222,Proportional
748,Majoritarian
368,Proportional
422,Proportional
442,Proportional
428,Proportional
484,Mixed
478,Mixed
458,Majoritarian
586,Majoritarian
600,Proportional
646,Proportional
678,Proportional
694,Majoritarian
705,Proportional
752,Proportional
626,Proportional
768,Proportional
792,Proportional
795,Majoritarian
840,Majoritarian
